ID,CATCH_SAMPLE_ID,HAUL_ID,PARENT_SAMPLE_ID,MIX_FLAG,SAMPLED_ALL_IN_PARENT_FLAG,SPECIES_CODE,SPECIES_NAME_DISPLAY,SEX,SAMPLE_MODIFIER_ID,DATABASE_STATUS,RECORDING_DEVICE,STATUS_TIMESTAMP,RECORDER,RECORD_TIMESTAMP
8616,8616,264,,0,1,21720,1,,,0,"fce7e11b983fefbb","08/15/2019 09:10:10","Dawson, Liz","08/15/2019 09:10:10"
8617,8617,264,,0,0,21740,1,,,0,"fce7e11b983fefbb","08/15/2019 09:10:38","Dawson, Liz","08/15/2019 09:10:38"
8618,8618,264,,0,0,10285,1,,,0,"fce7e11b983fefbb","08/15/2019 09:11:06","Dawson, Liz","08/15/2019 09:11:06"
8619,8619,264,,1,0,,,,17,0,"fce7e11b983fefbb","08/15/2019 09:11:37","Dawson, Liz","08/15/2019 09:11:37"
8620,8620,264,,0,1,21371,1,,,0,"fce7e11b983fefbb","08/15/2019 09:12:11","Dawson, Liz","08/15/2019 09:12:11"
8621,8621,264,,0,0,10210,1,,,0,"fce7e11b983fefbb","08/15/2019 09:12:20","Dawson, Liz","08/15/2019 09:12:20"
8622,8622,264,,0,1,21370,1,,,0,"fce7e11b983fefbb","08/15/2019 09:12:43","Dawson, Liz","08/15/2019 09:12:43"
8623,8623,264,,0,0,10261,1,,,0,"fce7e11b983fefbb","08/15/2019 09:13:45","Dawson, Liz","08/15/2019 09:13:45"
8624,8624,264,,0,0,21735,1,,,0,"fce7e11b983fefbb","08/15/2019 09:14:09","Dawson, Liz","08/15/2019 09:14:09"
8625,8625,264,,0,0,80594,1,,,0,"fce7e11b983fefbb","08/15/2019 09:16:28","Dawson, Liz","08/15/2019 09:16:28"
8626,8626,264,,0,0,81742,1,,,0,"fce7e11b983fefbb","08/15/2019 09:16:59","Dawson, Liz","08/15/2019 09:16:59"
8627,8627,264,,0,1,471,1,,,0,"fce7e11b983fefbb","08/15/2019 09:18:37","Dawson, Liz","08/15/2019 09:18:37"
8628,8628,264,,0,0,40504,1,,,0,"fce7e11b983fefbb","08/15/2019 09:19:20","Dawson, Liz","08/15/2019 09:19:20"
8629,8629,264,,0,0,10140,1,,,0,"fce7e11b983fefbb","08/15/2019 09:20:47","Dawson, Liz","08/15/2019 09:20:47"
8630,8630,264,,0,0,20040,1,,,0,"fce7e11b983fefbb","08/15/2019 09:23:45","Dawson, Liz","08/15/2019 09:23:45"
8631,8631,264,,0,0,23041,1,,,0,"fce7e11b983fefbb","08/15/2019 09:24:00","Dawson, Liz","08/15/2019 09:24:00"
8632,8632,264,,0,0,21110,1,,,0,"fce7e11b983fefbb","08/15/2019 09:24:26","Dawson, Liz","08/15/2019 09:24:26"
8633,8633,264,,0,0,21932,1,,,0,"fce7e11b983fefbb","08/15/2019 09:24:50","Dawson, Liz","08/15/2019 09:24:50"
8634,8634,264,,0,0,83020,1,,,0,"fce7e11b983fefbb","08/15/2019 09:25:18","Dawson, Liz","08/15/2019 09:25:18"
8635,8635,264,,0,0,80590,1,,,0,"fce7e11b983fefbb","08/15/2019 09:25:36","Dawson, Liz","08/15/2019 09:25:36"
8636,8636,264,8619,0,1,69086,1,,,0,"fce7e11b983fefbb","08/15/2019 09:28:47","Dawson, Liz","08/15/2019 09:28:47"
8637,8637,264,8619,0,1,71884,1,,,0,"fce7e11b983fefbb","08/15/2019 09:31:15","Dawson, Liz","08/15/2019 09:31:15"
8638,8638,264,8619,0,1,71882,1,,,0,"fce7e11b983fefbb","08/15/2019 09:31:42","Dawson, Liz","08/15/2019 09:31:42"
8639,8639,264,8619,0,1,69061,1,,,0,"fce7e11b983fefbb","08/15/2019 09:32:09","Dawson, Liz","08/15/2019 09:32:09"
8640,8640,264,8619,0,1,99991,1,,,0,"fce7e11b983fefbb","08/15/2019 09:32:32","Dawson, Liz","08/15/2019 09:32:32"
8641,8641,264,8619,0,1,99993,1,,,0,"fce7e11b983fefbb","08/15/2019 09:32:37","Dawson, Liz","08/15/2019 09:32:37"
8642,8642,264,8619,0,1,71001,1,,,0,"fce7e11b983fefbb","08/15/2019 09:33:03","Dawson, Liz","08/15/2019 09:33:03"
8643,8643,264,8619,0,1,75111,1,,,0,"fce7e11b983fefbb","08/15/2019 09:33:26","Dawson, Liz","08/15/2019 09:33:26"
8644,8644,264,8619,0,1,66502,1,,,0,"fce7e11b983fefbb","08/15/2019 09:33:44","Dawson, Liz","08/15/2019 09:33:44"
8645,8645,264,8619,0,1,68577,1,,,0,"fce7e11b983fefbb","08/15/2019 09:34:13","Dawson, Liz","08/15/2019 09:34:13"
8646,8646,264,8619,0,1,69120,1,,,0,"fce7e11b983fefbb","08/15/2019 09:34:45","Dawson, Liz","08/15/2019 09:34:45"
8647,8647,264,8619,0,1,72755,1,,,0,"fce7e11b983fefbb","08/15/2019 09:35:31","Dawson, Liz","08/15/2019 09:35:31"
8648,8648,264,8619,0,1,72743,1,,,0,"fce7e11b983fefbb","08/15/2019 09:35:47","Dawson, Liz","08/15/2019 09:35:47"
8649,8649,264,8619,0,1,71731,1,,,0,"fce7e11b983fefbb","08/15/2019 09:36:07","Dawson, Liz","08/15/2019 09:36:07"
8650,8650,264,8619,0,1,99994,1,,,0,"fce7e11b983fefbb","08/15/2019 09:36:42","Dawson, Liz","08/15/2019 09:36:42"
